index,Ultrasonic Sensor Data Capture Start,index,Ultrasonic Sensor Data Capture Start
400,4205,100401.0,2741.0
401,4281,100402.0,2740.0
402,4182,100403.0,2746.0
403,4153,100404.0,2747.0
404,4159,100405.0,2747.0
405,4281,100406.0,2741.0
406,4229,100407.0,2740.0
407,4257,100408.0,2740.0
408,4229,100409.0,2741.0
409,4282,100410.0,2740.0
410,4282,100411.0,2741.0
411,4275,100412.0,2746.0
412,4276,100413.0,2746.0
413,4158,100414.0,2746.0
414,4256,100415.0,2740.0
415,4159,100416.0,2740.0
416,4257,100417.0,2741.0
417,4281,100418.0,2740.0
418,4205,100419.0,2741.0
419,4256,100420.0,2741.0
420,4275,100421.0,2741.0
421,4275,100422.0,2747.0
422,4281,100423.0,2820.0
423,4281,100424.0,2765.0
424,4159,100425.0,2765.0
425,4257,100426.0,2765.0
426,4257,100427.0,2765.0
427,4281,100428.0,2740.0
428,4281,100429.0,2740.0
429,4275,100430.0,2764.0
430,4276,100431.0,2771.0
431,4199,100432.0,2771.0
432,4257,100433.0,2765.0
433,4205,100434.0,2741.0
434,4205,100435.0,2740.0
435,4281,100436.0,2740.0
436,4282,100437.0,2740.0
437,4281,100438.0,2740.0
438,4159,100439.0,2740.0
439,4275,100440.0,2746.0
440,4275,100441.0,2747.0
441,4257,100442.0,2747.0
442,4180,100443.0,2740.0
443,4205,100444.0,2741.0
444,4205,100445.0,2741.0
445,4282,100446.0,2741.0
446,4282,100447.0,2741.0
447,4205,100448.0,2741.0
448,4251,100449.0,2796.0
449,4177,100450.0,2746.0
450,4281,100451.0,2747.0
451,4205,100452.0,2741.0
452,4282,100453.0,2741.0
453,4257,100454.0,2741.0
454,4282,100455.0,2741.0
455,4281,100456.0,2741.0
456,4257,100457.0,2741.0
457,4276,100458.0,2747.0
458,4153,100459.0,2746.0
459,4159,100460.0,2771.0
460,4159,100461.0,2741.0
461,4257,100462.0,2741.0
462,4281,100463.0,2741.0
463,4205,100464.0,2741.0
464,4159,100465.0,2740.0
465,4257,100466.0,2741.0
466,4251,100467.0,2747.0
467,4153,100468.0,2796.0
468,4159,100469.0,2746.0
469,4281,100470.0,2741.0
470,4256,100471.0,2741.0
471,4257,100472.0,2766.0
472,4258,100473.0,2790.0
473,4159,100474.0,2765.0
474,4257,100475.0,2741.0
475,4205,100476.0,2797.0
476,4251,100477.0,2747.0
477,4257,100478.0,2747.0
478,4257,100479.0,2741.0
479,4281,100480.0,2740.0
480,4257,100481.0,2740.0
481,4205,100482.0,2741.0
482,4257,100483.0,2741.0
483,4205,100484.0,2741.0
484,4205,100485.0,2741.0
485,4251,100486.0,2796.0
486,4257,100487.0,2796.0
487,4159,100488.0,2790.0
488,4281,100489.0,2765.0
489,4257,100490.0,2741.0
490,4257,100491.0,2741.0
491,4159,100492.0,2741.0
492,4257,100493.0,2741.0
493,4257,100494.0,2740.0
494,4251,100495.0,2747.0
495,4251,100496.0,2796.0
496,4257,100497.0,2741.0
497,4204,100498.0,2741.0
498,4257,100499.0,2740.0
499,4205,100500.0,2765.0
500,4205,100501.0,2790.0
501,4229,100502.0,2790.0
502,4257,100503.0,2765.0
503,4251,100504.0,2772.0
504,4152,100505.0,2772.0
505,4257,100506.0,2746.0
506,4156,100507.0,2766.0
507,4282,100508.0,2790.0
508,4205,100509.0,2790.0
509,4256,100510.0,2765.0
510,4281,100511.0,2741.0
511,4158,100512.0,2741.0
512,4159,100513.0,2796.0
513,4251,100514.0,2747.0
514,4159,100515.0,2747.0
515,4180,100516.0,2741.0
516,4257,100517.0,2740.0
517,4256,100518.0,2740.0
518,4257,100519.0,2741.0
519,4256,100520.0,2741.0
520,4159,100521.0,2741.0
521,4159,100522.0,2747.0
522,4251,100523.0,2747.0
523,4257,100524.0,2747.0
524,4159,100525.0,2740.0
525,4257,100526.0,2740.0
526,4205,100527.0,2740.0
527,4159,100528.0,2740.0
528,4158,100529.0,2741.0
529,4158,100530.0,2740.0
530,4159,100531.0,2746.0
531,4177,100532.0,2746.0
532,4158,100533.0,2796.0
533,4159,100534.0,2741.0
534,4158,100535.0,2765.0
535,4257,100536.0,2741.0
536,4205,100537.0,2740.0
537,4205,100538.0,2740.0
538,4205,100539.0,2740.0
539,4205,100540.0,2746.0
540,4251,100541.0,2771.0
541,4159,100542.0,2747.0
542,4183,100543.0,2741.0
543,4158,100544.0,2765.0
544,4257,100545.0,2741.0
545,4257,100546.0,2741.0
546,4159,100547.0,2741.0
547,4229,100548.0,2740.0
