index,[2023-01-12 17:02:45.931] Ultrasonic Sensor Data Capture Start,index,[2023-01-12 17:02:45.931] Ultrasonic Sensor Data Capture Start,,,,,,,,,,,,
344,9143,100349,9153,,,,,,,,,,,,
345,9168,100350,9127,,,,,,,,,,,,
346,9093,100351,9128,,,,,,,,,,,,
347,9117,100352,9153,,,,,,,,,,,,
348,9118,100353,9153,,,,,,,,,,,,
349,9117,100354,9153,,,,,,,,,,,,
350,9093,100355,9128,,,,,,,,,,,,
351,9117,100356,9129,,,,,,,,,,,,
352,9142,100357,9153,,,,,,,,,,,,
353,9092,100358,9153,,,,,,,,,,,,
354,9116,100359,9179,,,,,,,,,,,,
355,9099,100360,9178,,,,,,,,,,,,
356,9117,100361,9128,,,,,,,,,,,,
357,9093,100362,9178,,,,,,,,,,,,
358,9117,100363,9128,,,,,,,,,,,,
359,9168,100364,9153,,,,,,,,,,,,
360,9117,100365,9152,,,,,,,,,,,,
361,9118,100366,9179,,,,,,,,,,,,
362,9093,100367,9153,,,,,,,,,,,,
363,9218,100368,9127,,,,,,,,,,,,
364,9093,100369,9153,,,,,,,,,,,,
365,9117,100370,9153,,,,,,,,,,,,
366,9143,100371,9178,,,,,,,,,,,,
367,9117,100372,9153,,,,,,,,,,,,
368,9117,100373,9204,,,,,,,,,,,,
369,9117,100374,9131,,,,,,,,,,,,
370,9118,100375,9228,,,,,,,,,,,,
371,9168,100376,9127,,,,,,,,,,,,
372,9143,100377,9153,,,,,,,,,,,,
373,9118,100378,9178,,,,,,,,,,,,
374,9092,100379,9153,,,,,,,,,,,,
375,9142,100380,9128,,,,,,,,,,,,
376,9093,100381,9229,,,,,,,,,,,,
377,9093,100382,9152,,,,,,,,,,,,
378,9117,100383,9152,,,,,,,,,,,,
379,9093,100384,9128,,,,,,,,,,,,
380,9192,100385,9128,,,,,,,,,,,,
381,9093,100386,9178,,,,,,,,,,,,
382,9118,100387,9203,,,,,,,,,,,,
383,9117,100388,9153,,,,,,,,,,,,
384,9117,100389,9152,,,,,,,,,,,,
385,9118,100390,9152,,,,,,,,,,,,
386,9118,100391,9153,,,,,,,,,,,,
387,9116,100392,9172,,,,,,,,,,,,
