index,[2023-01-11 12:57:44.253] Capture Start,index,[2023-01-11 12:57:44.253] Capture Start
1190,2869,101195,2725
1191,2869,101196,2701
1192,2823,101197,2725
1193,2894,101198,2654
1194,2893,101199,2654
1195,2899,101200,2706
1196,2890,101201,2700
1197,2844,101202,2701
1198,2845,101203,2624
1199,2896,101204,2725
1200,2845,101205,2624
1201,2846,101206,2648
1202,2845,101207,2654
1203,2846,101208,2731
1204,2852,101209,2629
1205,2852,101210,2700
1206,2846,101211,2648
1207,2846,101212,2701
1208,2845,101213,2648
1209,2869,101214,2725
1210,2846,101215,2648
1211,2846,101216,2654
1212,2846,101217,2630
1213,2851,101218,2630
1214,2852,101219,2701
1215,2846,101220,2701
1216,2846,101221,2700
1217,2845,101222,2700
1218,2845,101223,2700
1219,2846,101224,2648
1220,2845,101225,2704
1221,2845,101226,2654
1222,2852,101227,2605
1223,2875,101228,2630
1224,2846,101229,2648
1225,2846,101230,2648
1226,2845,101231,2701
1227,2846,101232,2700
1228,2845,101233,2700
1229,2845,101234,2700
1230,2846,101235,2706
1231,2852,101236,2629
1232,2852,101237,2629
1233,2845,101238,2700
1234,2821,101239,2725
1235,2846,101240,2701
1236,2846,101241,2648
1237,2845,101242,2624
1238,2845,101243,2700
1239,2845,101244,2707
