Channel1,Channel2,LabelObject,Grid
5995,5990,No,0
5922,5990,No,0
5995,5990,No,0
5946,5990,No,0
5921,5990,No,0
5995,5990,No,0
5952,5990,No,0
5945,5990,No,0
5970,5991,No,0
5920,5991,No,0
5945,5966,No,0
5946,5966,No,0
5945,5990,No,0
5950,5990,No,0
6021,5990,No,0
5945,5990,No,0
6027,5990,No,0
6020,5990,No,0
6021,5990,No,0
5950,6014,No,0
6021,5990,No,0
6021,5990,No,0
5950,6067,No,0
6021,5990,No,0
5944,5990,No,0
6022,5989,No,0
5946,5966,No,0
5995,5990,No,0
5995,5990,No,0
5996,5991,No,0
5995,5990,No,0
5921,5990,No,0
5969,5991,No,0
5969,5990,No,0
5945,5990,No,0
5952,6014,No,0
6022,6014,No,0
5945,5991,No,0
5952,6014,No,0
5945,5990,No,0
5921,5990,No,0
5921,5991,No,0
5948,5990,No,0
5945,5990,No,0
5946,5991,No,0
5946,5966,No,0
5945,5989,No,0
5920,5965,No,0
5920,5966,No,0
5951,5966,No,0
5946,6091,No,0
5921,5990,No,0
5921,6015,No,0
5927,5989,No,0
5946,6014,No,0
5995,6066,No,0
5976,6066,No,0
5946,6014,No,0
5945,6066,No,0
5921,6014,No,0
5945,6091,No,0
5946,6066,No,0
5945,5990,No,0
5951,6091,No,0
5946,5991,No,0
5921,6014,No,0
5946,5990,No,0
5951,5990,No,0
5946,5990,No,0
5946,5966,No,0
5970,6014,No,0
5971,6014,No,0
5945,5990,No,0
5922,5990,No,0
5951,5991,No,0
5945,5990,No,0
5945,5991,No,0
5945,5990,No,0
5945,5966,No,0
5946,5990,No,0
5945,5966,No,0
5952,5966,No,0
5946,5965,No,0
5946,5991,No,0
5970,5990,No,0
5945,5990,No,0
5920,6015,No,0
6021,6015,No,0
6022,6014,No,0
6022,5990,No,0
5946,6014,No,0
5946,5990,No,0
5945,5990,No,0
5945,6015,No,0
5952,5990,No,0
6021,5990,No,0
5969,5990,No,0
5945,5990,No,0
5945,5990,No,0
5946,5990,No,0
5971,5990,No,0
5952,5991,No,0
5945,5991,No,0
5921,5990,No,0
5921,6014,No,0
5945,5990,No,0
5944,6015,No,0
5945,6015,No,0
5952,5990,No,0
5945,6014,No,0
5945,6014,No,0
5945,5991,No,0
5945,5990,No,0
5945,5991,No,0
5946,5991,No,0
5928,5991,No,0
5946,5966,No,0
5945,5966,No,0
5921,5990,No,0
5927,6016,No,0
5946,5990,No,0
5921,5991,No,0
5921,6066,No,0
5945,6066,No,0
5921,5996,No,0
5921,5990,No,0
5945,6014,No,0
5946,6091,No,0
5921,6091,No,0
5922,6014,No,0
5977,6091,No,0
5946,5991,No,0
5970,6021,No,0
5922,6014,No,0
5945,6066,No,0
5921,6014,No,0
5920,5990,No,0
5927,5991,No,0
5945,6014,No,0
5945,5991,No,0
5945,6014,No,0
5969,6092,No,0
5970,6015,No,0
5945,5996,No,0
6027,6014,No,0
5945,5990,No,0
5921,6021,No,0
5921,6066,No,0
5945,5990,No,0
5946,5991,No,0
5945,5990,No,0
5951,6015,No,0
5946,5990,No,0
5946,6092,No,0
5945,6014,No,0
5946,6066,No,0
5921,5991,No,0
5921,6015,No,0
5922,5990,No,0
5946,5990,No,0
5945,5992,No,0
5921,5966,No,0
5952,5990,No,0
5946,5990,No,0
5945,5990,No,0
5921,5990,No,0
5946,5990,No,0
5922,5991,No,0
5922,6014,No,0
5921,5990,No,0
5921,5989,No,0
5921,6014,No,0
5921,5996,No,0
5952,6014,No,0
5945,6091,No,0
5921,5991,No,0
5945,5991,No,0
5969,6015,No,0
5945,5991,No,0
5970,6015,No,0
6028,5990,No,0
5946,5991,No,0
5921,5991,No,0
5921,6015,No,0
5969,5991,No,0
5946,5990,No,0
5946,6066,No,0
5952,6015,No,0
5946,5990,No,0
5921,5990,No,0
5944,5990,No,0
5996,5990,No,0
5996,5991,No,0
5996,5967,No,0
5946,5966,No,0
5969,5990,No,0
5946,5990,No,0
5952,5966,No,0
5945,6040,No,0
5946,5966,No,0
5920,5990,No,0
5946,5990,No,0
5970,5990,No,0
5970,5990,No,0
5952,5990,No,0
5946,5989,No,0
5921,5990,No,0
5970,6014,No,0
5945,5991,No,0
5946,5991,No,0
